FILM,RT_Norm,RATING,STARS,rating_diff,RATING_MANIPULATION_POSSIBILITY
Paul Blart: Mall Cop 2 (2015),0.2,3.5,3.5,3.3,high
Taken 3 (2015),0.4,4.1,4.5,3.6999999999999997,high
Fantastic Four (2015),0.4,2.7,3.0,2.3000000000000003,high
Hot Pursuit (2015),0.4,3.7,4.0,3.3000000000000003,high
Hitman: Agent 47 (2015),0.4,3.9,4.0,3.5,high
The Boy Next Door (2015),0.5,3.6,4.0,3.1,high
Seventh Son (2015),0.6,3.2,3.5,2.6,high
Mortdecai (2015),0.6,3.2,3.5,2.6,high
Sinister 2 (2015),0.6,3.3,3.5,2.6999999999999997,high
Unfinished Business (2015),0.6,3.2,3.5,2.6,high
